2022-08-31,57,95,60
2022-09-01,60,94,57
2022-09-02,57,91,57
2022-09-03,57,97,59
2022-09-04,59,99,61
2022-09-05,61,99,61
2022-09-06,61,98,60
2022-09-07,59,98,55
2022-09-08,54,71,50
2022-09-09,48,60,41
2022-09-10,41,78,47
2022-09-11,47,90,51
2022-09-12,50,89,56
2022-09-13,56,82,53
2022-09-14,54,77,50
2022-09-15,49,81,50
2022-09-16,50,81,49
2022-09-17,50,87,53
2022-09-18,52,91,55
2022-09-19,54,90,56
2022-09-20,56,66,50
2022-09-21,50,67,46
2022-09-22,46,80,45
2022-09-23,45,81,47
2022-09-24,46,75,47
2022-09-25,47,82,50
2022-09-26,50,80,49
2022-09-27,48,83,51
2022-09-28,52,84,51
2022-09-29,51,78,49
2022-09-30,49,71,47
2022-10-01,47,71,47
2022-10-02,46,72,45
2022-10-03,45,67,44
2022-10-04,44,70,43
2022-10-05,43,71,42
2022-10-06,42,57,38
2022-10-07,38,67,40
2022-10-08,39,72,40
2022-10-09,40,76,43
2022-10-10,43,76,38
2022-10-11,38,74,38
2022-10-12,38,69,38
2022-10-13,38,77,40
2022-10-14,40,66,40
2022-10-15,42,60,35
2022-10-16,35,65,35
2022-10-17,35,70,37
2022-10-18,37,77,37
2022-10-19,37,78,41
2022-10-20,41,77,41
2022-10-21,41,75,42
2022-10-22,42,64,30
2022-10-23,30,54,30
2022-10-24,29,61,33
2022-10-25,35,54,33
2022-10-26,34,53,24
2022-10-27,25,60,28
2022-10-28,28,61,33
2022-10-29,33,60,30
2022-10-30,30,65,33
2022-10-31,33,69,38
2022-11-01,39,69,35
2022-11-02,35,49,23
2022-11-03,22,43,26
2022-11-04,25,59,33
2022-11-05,32,52,26
2022-11-06,27,57,32
2022-11-07,31,66,32
2022-11-08,32,64,28
2022-11-09,27,48,17
2022-11-10,18,40,16
2022-11-11,15,48,21
2022-11-12,21,49,17
2022-11-13,17,38,18
2022-11-14,17,39,15
2022-11-15,15,44,19
2022-11-16,19,29,6
2022-11-17,7,26,7
2022-11-18,7,40,13
2022-11-19,11,47,16
2022-11-20,16,47,19
2022-11-21,19,49,21
2022-11-22,20,50,25
2022-11-23,25,45,19
2022-11-24,21,57,26
2022-11-25,26,57,24
